1496,1392,1458.9,24.93
1591,1392,1459.78,44.11
1545,1379,1456.3,38.43
1579,1379,1454.18,43.91
1579,1377,1443.38,52.78
1576,1317,1434.78,60.28
1576,1317,1431.6,67.19
1612,1317,1424.38,70.3
1513,1317,1406.84,57.66
1522,1317,1386.46,49.53
1475,1308,1383.08,42.33
1495,1303,1388.92,56.74
1551,1303,1378.16,62.52
1504,1303,1366.96,52.3
1521,1303,1361.76,53.47
1504,1303,1353.9,50.17
1519,1303,1364.74,51.12
1492,1303,1346.44,48.23
1477,1303,1332.28,40.5
1441,1303,1343.42,38.6
1426,1303,1331.4,35.85
1412,1303,1324.84,29.35
1432,1303,1339.6,35.21
1449,1302,1343.02,38.47
1436,1302,1334.48,33.81
1436,1302,1341.74,36.41
1400,1302,1324.14,27.3
1391,1302,1323.12,26.01
1407,1302,1333.54,32.34
1386,1302,1324.32,26.08
1374,1302,1315.5,23.26
1408,1302,1325.94,30.4
1408,1302,1319.7,27.18
1382,1302,1316.48,24.2
1408,1302,1335.12,31.21
1395,1302,1322.14,27.19
1370,1302,1318.4,23.15
1432,1302,1333.9,34.92
1411,1302,1331.08,32.68
1408,1302,1325.08,31.07
1408,1302,1341.32,32.63
1392,1302,1332.46,29.15
1400,1302,1324.68,29.78
1415,1302,1334.24,36.39
1408,1302,1321.14,29.05
1408,1302,1315.6,26.18
1440,1302,1330.5,36.47
1425,1302,1321.96,31.78
1397,1302,1317.84,25.95
1408,1302,1327.78,27.8
1374,1302,1321.1,22.63
1374,1302,1318.8,21.57
1402,1302,1327.84,29.21
1429,1302,1323.54,29.07
1393,1302,1315.64,22.65
1406,1302,1333.16,31.78
1389,1302,1330.24,27.86
1389,1302,1332.42,29.75
1427,1302,1332.38,29.12
1368,1302,1319.6,20.26
1359,1302,1311.86,15.36
1402,1302,1333.66,32.59
1423,1302,1323.86,29.91
1423,1302,1323.82,28.67
1426,1302,1324.8,32.32
1475,1302,1330.26,44.41
1475,1302,1327.68,46.17
1459,1302,1332.94,44.29
1460,1302,1339.02,45.94
1439,1302,1337.36,41.95
1464,1302,1348.36,41.24
1460,1302,1338.96,38.6
1424,1302,1334.62,36.26
1432,1302,1335.64,37.76
1407,1302,1329.98,35.59
1398,1302,1324.58,30.6
1409,1302,1330.64,36.01
1402,1302,1325.86,34.36
1402,1302,1313,24.84
1402,1302,1332.96,31.42
1379,1302,1320.74,27.31
1391,1302,1313.36,23.49
1402,1302,1338.28,34.34
1400,1302,1328.1,32.37
1400,1302,1322.24,29.7
1408,1302,1332.74,34.67
1388,1302,1319.02,25.25
1394,1302,1311.68,21.18
1434,1302,1331.54,34.77
1434,1302,1334.06,34.09
1434,1297,1330.02,35.17
1421,1297,1335.34,34.05
1421,1297,1320.88,28.69
1421,1297,1318.74,27.55
1426,1297,1338.1,39.19
1426,1297,1332.18,37.96
1408,1297,1323.26,31.6
1431,1297,1335.88,36.44
1436,1297,1326.22,32.46
1371,1297,1323.24,28.02
1424,1297,1332,35.25
1424,1297,1326.7,36.59
1424,1297,1320.36,35.08
1415,1297,1321.66,34.71
1401,1297,1318.02,33.09
1453,1297,1318.58,34
1426,1297,1334.66,38.42
1435,1297,1331.98,41.72
1435,1297,1323.48,34.84
1408,1297,1326.72,32.18
1408,1297,1324.68,28.9
1355,1297,1315.28,20.44
1420,1297,1324.98,30.8
1441,1297,1329.88,38.37
1364,1297,1312.74,21.26
1403,1297,1324.18,33.16
1380,1297,1313.66,26.36
